particuliere_huishoudens,Mbo_p,Wo_p,Hbo_p
0,2.5112401734397807,-2.6079119488102944,0.12537548744629223
1,2.476443082547651,-2.5427204244034893,0.13139870722226726
2,2.441645991655521,-2.4775288999966847,0.1374219269982423
3,2.4068489007633915,-2.4123373755898796,0.14344514677421732
4,2.372051809871262,-2.3471458511830745,0.14946836655019238
5,2.337254718979132,-2.2819543267762694,0.1554915863261674
6,2.3024576280870024,-2.2167628023694643,0.16151480610214244
7,2.267660537194873,-2.1515712779626597,0.16753802587811747
8,2.232863446302743,-2.0863797535558546,0.17356124565409253
9,2.1980663554106132,-2.0211882291490495,0.17958446543006756
10,2.1632692645184832,-1.9559967047422446,0.1856076852060426
11,2.1284721736263537,-1.8908051803354398,0.19163090498201762
12,2.093675082734224,-1.8256136559286347,0.19765412475799266
13,2.0588779918420945,-1.7604221315218296,0.20367734453396769
14,2.0240809009499645,-1.6952306071150247,0.20970056430994272
15,1.989283810057835,-1.6300390827082198,0.21572378408591777
16,1.9544867191657052,-1.5648475583014148,0.2217470038618928
17,1.9196896282735754,-1.4996560338946097,0.22777022363786784
18,1.8848925373814458,-1.4344645094878048,0.2337934434138429
19,1.850095446489316,-1.369272985081,0.23981666318981792
20,1.8152983555971862,-1.3040814606741948,0.24583988296579296
21,1.7805012647050567,-1.2388899362673897,0.251863102741768
22,1.7457041738129269,-1.1736984118605849,0.257886322517743
23,1.710907082920797,-1.10850688745378,0.26390954229371805
24,1.6761099920286675,-1.043315363046975,0.2699327620696931
25,1.6413129011365377,-0.9781238386401698,0.27595598184566816
26,1.606515810244408,-0.912932314233365,0.28197920162164314
27,1.5717187193522784,-0.8477407898265601,0.2880024213976182
28,1.5369216284601486,-0.782549265419755,0.2940256411735932
29,1.5021245375680188,-0.7173577410129499,0.3000488609495683
30,1.467327446675889,-0.652166216606145,0.3060720807255433
31,1.4325303557837594,-0.5869746921993402,0.31209530050151835
32,1.3977332648916296,-0.5217831677925351,0.3181185202774934
33,1.3629361739994998,-0.45659164338573,0.3241417400534684
34,1.3281390831073703,-0.3914001189789249,0.33016495982944344
35,1.2933419922152405,-0.32620859457212026,0.33618817960541847
36,1.2585449013231107,-0.26101707016531517,0.34221139938139356
37,1.2237478104309811,-0.19582554575851008,0.34823461915736853
38,1.1889507195388513,-0.13063402135170543,0.3542578389333436
39,1.1541536286467216,-0.06544249694490034,0.3602810587093186
40,1.1193565377545918,-0.000250972538095251,0.3663042784852937
41,1.0845594468624622,0.06494055186870984,0.3723274982612687
42,1.0497623559703324,0.13013207627551493,0.37835071803724374
43,1.0149652650782026,0.19532360068231958,0.38437393781321877
44,0.980168174186073,0.26051512508912467,0.3903971575891938
45,0.9453710832939433,0.32570664949592976,0.39642037736516883
46,0.9105739924018135,0.3908981739027344,0.40244359714114386
47,0.8757769015096839,0.4560896983095395,0.4084668169171189
48,0.8409798106175541,0.5212812227163446,0.4144900366930939
49,0.8061827197254243,0.5864727471231497,0.420513256469069
50,0.7713856288332948,0.6516642715299548,0.42653647624504404
51,0.736588537941165,0.7168557959367594,0.43255969602101907
52,0.7017914470490352,0.7820473203435645,0.4385829157969941
53,0.6669943561569056,0.8472388447503696,0.44460613557296913
54,0.6321972652647758,0.9124303691571742,0.45062935534894416
55,0.597400174372646,0.9776218935639793,0.4566525751249192
56,0.5626030834805165,1.0428134179707844,0.4626757949008942
57,0.5278059925883867,1.1080049423775895,0.46869901467686925
58,0.4930089016962569,1.1731964667843946,0.4747222344528443
59,0.4582118108041273,1.2383879911911992,0.48074545422881937
60,0.4234147199119973,1.3035795155980043,0.4867686740047944
61,0.38861762901986774,1.3687710400048094,0.49279189378076943
62,0.35382053812773817,1.433962564411614,0.49881511355674446
63,0.31902344723560816,1.4991540888184196,0.5048383333327195
64,0.2842263563434786,1.5643456132252243,0.5108615531086945
65,0.24942926545134902,1.629537137632029,0.5168847728846695
66,0.214632174559219,1.6947286620388344,0.5229079926606446
67,0.17983508366708945,1.759920186445639,0.5289312124366197
68,0.14503799277495988,1.8251117108524446,0.5349544322125946
69,0.11024090188282987,1.8903032352592493,0.5409776519885696
70,0.0754438109907003,1.955494759666054,0.5470008717645447
71,0.04064672009857073,2.0206862840728594,0.5530240915405198
72,0.005849629206440721,2.085877808479664,0.5590473113164949
73,-0.028947461685688847,2.1510693328864687,0.5650705310924699
74,-0.06374455257781841,2.2162608572932743,0.5710937508684448
75,-0.09854164346994843,2.281452381700079,0.5771169706444199
76,-0.133338734362078,2.3466439061068836,0.583140190420395
77,-0.16813582525420756,2.411835430513689,0.58916341019637
78,-0.20293291614633757,2.4770269549204937,0.595186629972345
79,-0.23773000703846714,2.5422184793272993,0.60120984974832
80,-0.27252709793059715,2.607410003734104,0.6072330695242951
81,-0.3073241888227267,2.6726015281409086,0.6132562893002702
82,-0.3421212797148563,2.737793052547714,0.6192795090762452
83,-0.3769183706069863,2.8029845769545187,0.6253027288522202
84,-0.41171546149911586,2.8681761013613243,0.6313259486281952
85,-0.44651255239124543,2.933367625768129,0.6373491684041702
86,-0.48130964328337544,2.9985591501749336,0.6433723881801453
87,-0.516106734175505,3.063750674581739,0.6493956079561204
88,-0.5509038250676346,3.1289421989885438,0.6554188277320954
89,-0.5857009159597646,3.1941337233953484,0.6614420475080705
90,-0.6204980068518942,3.259325247802154,0.6674652672840454
91,-0.6552950977440237,3.3245167722089586,0.6734884870600205
92,-0.6900921886361537,3.3897082966157632,0.6795117068359955
93,-0.7248892795282833,3.4548998210225688,0.6855349266119706
94,-0.7596863704204129,3.5200913454293734,0.6915581463879455
95,-0.7944834613125429,3.585282869836179,0.6975813661639206
96,-0.8292805522046724,3.6504743942429836,0.7036045859398956
97,-0.864077643096802,3.7156659186497882,0.7096278057158707
98,-0.898874733988932,3.7808574430565938,0.7156510254918458
99,-0.9336718248810616,3.8460489674633984,0.7216742452678208
100,-0.9684689157731912,3.911240491870204,0.7276974650437958
101,-1.0032660066653212,3.9764320162770086,0.7337206848197708
102,-1.0380630975574507,4.041623540683814,0.7397439045957459
103,-1.0728601884495803,4.106815065090618,0.7457671243717209
104,-1.1076572793417103,4.172006589497423,0.751790344147696
105,-1.1424543702338399,4.237198113904228,0.7578135639236709
106,-1.1772514611259695,4.302389638311034,0.763836783699646
107,-1.2120485520180995,4.367581162717839,0.7698600034756211
108,-1.246845642910229,4.432772687124643,0.7758832232515961
109,-1.2816427338023586,4.497964211531448,0.7819064430275712
110,-1.3164398246944886,4.563155735938253,0.7879296628035461
111,-1.3512369155866182,4.628347260345059,0.7939528825795212
112,-1.3860340064787477,4.693538784751864,0.7999761023554962
113,-1.4208310973708778,4.758730309158668,0.8059993221314713
114,-1.4556281882630073,4.823921833565473,0.8120225419074463
115,-1.4904252791551373,4.889113357972278,0.8180457616834214
116,-1.525222370047267,4.954304882379084,0.8240689814593963
117,-1.5600194609393965,5.019496406785889,0.8300922012353714
118,-1.594816551831526,5.084687931192693,0.8361154210113465
119,-1.6296136427236556,5.149879455599498,0.8421386407873215
120,-1.664410733615786,5.215070980006303,0.8481618605632966
121,-1.6992078245079156,5.280262504413107,0.8541850803392715
122,-1.7340049154000452,5.345454028819914,0.8602083001152466
123,-1.7688020062921748,5.410645553226718,0.8662315198912216
124,-1.8035990971843043,5.475837077633523,0.8722547396671967
125,-1.838396188076434,5.541028602040328,0.8782779594431717
126,-1.8731932789685644,5.606220126447134,0.8843011792191467
127,-1.907990369860694,5.671411650853939,0.8903243989951217
128,-1.9427874607528235,5.736603175260743,0.8963476187710968
129,-1.977584551644953,5.801794699667548,0.9023708385470719
130,-2.0123816425370826,5.866986224074353,0.9083940583230469
131,-2.047178733429213,5.932177748481159,0.914417278099022
132,-2.0819758243213426,5.997369272887964,0.9204404978749969
133,-2.116772915213472,6.062560797294768,0.926463717650972
134,-2.151570006105602,6.127752321701573,0.932486937426947
135,-2.1863670969977314,6.192943846108378,0.9385101572029221
136,-2.221164187889861,6.258135370515184,0.944533376978897
137,-2.2559612787819914,6.323326894921989,0.9505565967548721
138,-2.290758369674121,6.388518419328793,0.9565798165308471
139,-2.3255554605662505,6.453709943735598,0.9626030363068222
140,-2.36035255145838,6.518901468142403,0.9686262560827973
141,-2.3951496423505096,6.584092992549207,0.9746494758587723
142,-2.429946733242639,6.649284516956014,0.9806726956347473
143,-2.4647438241347697,6.714476041362818,0.9866959154107223
144,-2.4995409150268992,6.779667565769623,0.9927191351866974
145,-2.534338005919029,6.844859090176428,0.9987423549626724
146,-2.5691350968111584,6.910050614583232,1.0047655747386475
147,-2.603932187703288,6.975242138990039,1.0107887945146223
148,-2.6387292785954175,7.040433663396843,1.0168120142905974
149,-2.673526369487548,7.105625187803648,1.0228352340665725
150,-2.7083234603796775,7.170816712210453,1.0288584538425476
151,-2.743120551271807,7.236008236617257,1.0348816736185227
152,-2.7779176421639367,7.301199761024062,1.0409048933944978
153,-2.8127147330560662,7.366391285430868,1.0469281131704729
154,-2.847511823948196,7.431582809837673,1.0529513329464477
155,-2.8823089148403263,7.496774334244478,1.0589745527224228
156,-2.917106005732456,7.561965858651282,1.0649977724983977
157,-2.9519030966245854,7.627157383058087,1.0710209922743728
158,-2.986700187516715,7.692348907464893,1.0770442120503478
159,-3.0214972784088445,7.757540431871698,1.083067431826323
160,-3.056294369300975,7.822731956278503,1.089090651602298
161,-3.0910914601931045,7.887923480685307,1.095113871378273
162,-3.125888551085234,7.953115005092112,1.1011370911542482
163,-3.1606856419773637,8.018306529498918,1.107160310930223
164,-3.1954827328694932,8.083498053905723,1.1131835307061981
165,-3.230279823761623,8.148689578312528,1.119206750482173
166,-3.2650769146537533,8.213881102719332,1.125229970258148
167,-3.299874005545883,8.279072627126137,1.1312531900341232
168,-3.3346710964380124,8.344264151532943,1.1372764098100983
169,-3.369468187330142,8.409455675939748,1.1432996295860733
170,-3.4042652782222715,8.474647200346553,1.1493228493620482
171,-3.439062369114401,8.539838724753357,1.1553460691380233
172,-3.4738594600065316,8.605030249160162,1.1613692889139984
173,-3.508656550898661,8.670221773566967,1.1673925086899735
174,-3.5434536417907907,8.735413297973773,1.1734157284659485
175,-3.5782507326829203,8.800604822380578,1.1794389482419234
